path,width,height,mode,format
..\data\raw\img10107_H.jpg,1176,1136,RGB,JPEG
..\data\raw\img10107_I.jpg,1150,1144,RGB,JPEG
..\data\raw\img10108_A.jpg,1168,873,RGB,JPEG
..\data\raw\img10108_B.jpg,1177,881,RGB,JPEG
..\data\raw\img10108_C.jpg,1172,874,RGB,JPEG
..\data\raw\img10108_D.jpg,1163,868,RGB,JPEG
..\data\raw\img10108_E.jpg,1165,879,RGB,JPEG
..\data\raw\img10108_F.jpg,1161,877,RGB,JPEG
..\data\raw\img10109_A.jpg,1568,1193,RGB,JPEG
..\data\raw\img10109_B.jpg,1582,461,RGB,JPEG
..\data\raw\img10109_B_2.jpg,738,414,RGB,JPEG
..\data\raw\img1010_A.jpg,1250,883,RGB,JPEG
..\data\raw\img1010_B.jpg,1230,884,RGB,JPEG
..\data\raw\img10110_A.jpg,1173,878,RGB,JPEG
..\data\raw\img10110_B.jpg,1171,875,RGB,JPEG
..\data\raw\img10110_C.jpg,1173,880,RGB,JPEG
..\data\raw\img10110_D.jpg,1158,879,RGB,JPEG
..\data\raw\img10110_E.jpg,1174,890,RGB,JPEG
..\data\raw\img10110_F.jpg,1171,898,RGB,JPEG
..\data\raw\img10111_A.jpg,1209,957,RGB,JPEG
